ncbiID	fullName	rank	parentID
100226	Streptomyces coelicolor A3(2)	strain	1902
1902	Streptomyces coelicolor	species	1477431
1477431	Streptomyces albidoflavus group	speciesgroup	1883
1883	Streptomyces	genus	2062
2062	Streptomycetaceae	family	85011
85011	Streptomycetales	order	1760
1760	Actinomycetia	class	201174
201174	Actinobacteria	phylum	1783272
1783272	Terrabacteria group	norank	2
2	Bacteria	superkingdom	131567
131567	cellular organisms	norank	1
10090	Mus musculus	species	862507
862507	Mus	subgenus	10088
10088	Mus	genus	39107
39107	Murinae	subfamily	10066
10066	Muridae	family	337687
337687	Muroidea	norank	1963758
1963758	Myomorpha	suborder	9989
9989	Rodentia	order	314147
314147	Glires	norank	314146
314146	Euarchontoglires	superorder	1437010
1437010	Boreoeutheria	norank	9347
9347	Eutheria	norank	32525
32525	Theria	norank	40674
40674	Mammalia	class	32524
32524	Amniota	norank	32523
32523	Tetrapoda	norank	1338369
1338369	Dipnotetrapodomorpha	norank	8287
8287	Sarcopterygii	superclass	117571
117571	Euteleostomi	norank	117570
117570	Teleostomi	norank	7776
7776	Gnathostomata	norank	7742
7742	Vertebrata	norank	89593
89593	Craniata	subphylum	7711
7711	Chordata	phylum	33511
33511	Deuterostomia	norank	33213
33213	Bilateria	norank	6072
6072	Eumetazoa	norank	33208
33208	Metazoa	kingdom	999999001
999999001	Choanozoa	norank	999999002
999999002	Filozoa	norank	999999003
999999003	Pluriformea	norank	999999004
999999004	Holozoa	norank	33154
33154	Opisthokonta	norank	2759
2759	Eukaryota	superkingdom	131567
10116	Rattus norvegicus	species	10114
10114	Rattus	genus	39107
1111708	Synechocystis sp. PCC 6803 substr. Kazusa	norank	1148
1148	Synechocystis sp. PCC 6803	species	2640012
2640012	unclassified Synechocystis	norank	1142
1142	Synechocystis	genus	1890428
1890428	Merismopediaceae	family	1890424
1890424	Synechococcales	order	1117
1117	Cyanobacteria	phylum	1798711
1798711	Cyanobacteria/Melainabacteria group	norank	1783272
122586	Neisseria meningitidis MC58	strain	491
491	Neisseria meningitidis serogroup B	serogroup	487
487	Neisseria meningitidis	species	482
482	Neisseria	genus	481
481	Neisseriaceae	family	206351
206351	Neisseriales	order	28216
28216	Betaproteobacteria	class	1224
1224	Proteobacteria	phylum	2
123851	Ladona fulva	species	70376
70376	Ladona	genus	6964
6964	Libellulidae	family	70899
70899	Cavilabiata	superfamily	6962
6962	Anisoptera	infraorder	2510002
2510002	Epiprocta	suborder	6961
6961	Odonata	order	33339
33339	Palaeoptera	infraclass	7496
7496	Pterygota	subclass	85512
85512	Dicondylia	norank	50557
50557	Insecta	class	6960
6960	Hexapoda	subphylum	197562
197562	Pancrustacea	norank	197563
197563	Mandibulata	norank	6656
6656	Arthropoda	phylum	88770
88770	Panarthropoda	norank	1206794
1206794	Ecdysozoa	norank	33317
33317	Protostomia	norank	33213
136037	Zootermopsis nevadensis	species	7502
7502	Zootermopsis	genus	127821
127821	Termopsini	tribe	127820
127820	Termopsinae	subfamily	7501
7501	Termopsidae	family	1912919
1912919	Termitoidae	norank	1049657
1049657	Blattoidea	superfamily	85823
85823	Blattodea	order	6970
6970	Dictyoptera	norank	33341
33341	Polyneoptera	cohort	33340
33340	Neoptera	infraclass	7496
13616	Monodelphis domestica	species	13615
13615	Monodelphis	genus	126287
126287	Didelphinae	subfamily	9265
9265	Didelphidae	family	38605
38605	Didelphimorphia	order	9263
9263	Metatheria	norank	32525
164328	Phytophthora ramorum	species	4783
4783	Phytophthora	genus	4777
4777	Peronosporaceae	family	4776
4776	Peronosporales	order	4762
4762	Oomycota	phylum	33634
33634	Stramenopiles	norank	2698737
2698737	Sar	norank	2759
1841598	Candidatus Heimdallarchaeota archaeon LC_3	species	1936272
1936272	Candidatus Heimdallarchaeota	phylum	1935183
1935183	Asgard group	norank	2157
2157	Archaea	superkingdom	131567
184922	Giardia lamblia ATCC 50803	strain	5741
5741	Giardia intestinalis	species	5740
5740	Giardia	genus	68459
68459	Giardiinae	subfamily	5739
5739	Hexamitidae	family	5738
5738	Diplomonadida	order	207245
207245	Fornicata	phylum	2611341
2611341	Metamonada	norank	2759
188937	Methanosarcina acetivorans C2A	strain	2214
2214	Methanosarcina acetivorans	species	2207
2207	Methanosarcina	genus	2206
2206	Methanosarcinaceae	family	94695
94695	Methanosarcinales	order	224756
224756	Methanomicrobia	class	2290931
2290931	Stenosarchaea group	norank	28890
28890	Euryarchaeota	phylum	2157
189518	Leptospira interrogans serovar Lai str. 56601	strain	57678
57678	Leptospira interrogans serovar Lai	norank	173
173	Leptospira interrogans	species	171
171	Leptospira	genus	170
170	Leptospiraceae	family	1643688
1643688	Leptospirales	order	203692
203692	Spirochaetia	class	203691
203691	Spirochaetes	phylum	2
190304	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	strain	76856
76856	Fusobacterium nucleatum subsp. nucleatum	subspecies	851
851	Fusobacterium nucleatum	species	848
848	Fusobacterium	genus	203492
203492	Fusobacteriaceae	family	203491
203491	Fusobacteriales	order	203490
203490	Fusobacteriia	class	32066
32066	Fusobacteria	phylum	2
208964	Pseudomonas aeruginosa PAO1	strain	287
287	Pseudomonas aeruginosa	species	136841
136841	Pseudomonas aeruginosa group	speciesgroup	286
286	Pseudomonas	genus	135621
135621	Pseudomonadaceae	family	72274
72274	Pseudomonadales	order	1236
1236	Gammaproteobacteria	class	1224
214684	Cryptococcus neoformans var. neoformans JEC21	strain	40410
40410	Cryptococcus neoformans var. neoformans	varietas	5207
5207	Cryptococcus neoformans	species	1897064
1897064	Cryptococcus neoformans species complex	speciesgroup	5206
5206	Cryptococcus	genus	1884633
1884633	Cryptococcaceae	family	5234
5234	Tremellales	order	155616
155616	Tremellomycetes	class	5302
5302	Agaricomycotina	subphylum	5204
5204	Basidiomycota	phylum	451864
451864	Dikarya	subkingdom	4751
4751	Fungi	kingdom	999999005
999999005	Holomycota	norank	33154
224129	Agrilus planipennis	species	195164
195164	Agrilus	genus	261156
261156	Agrilinae	subfamily	50527
50527	Buprestidae	family	71192
71192	Buprestoidea	superfamily	41087
41087	Elateriformia	infraorder	41084
41084	Polyphaga	suborder	7041
7041	Coleoptera	order	33392
33392	Endopterygota	cohort	33340
224308	Bacillus subtilis subsp. subtilis str. 168	strain	135461
135461	Bacillus subtilis subsp. subtilis	subspecies	1423
1423	Bacillus subtilis	species	653685
653685	Bacillus subtilis group	speciesgroup	1386
1386	Bacillus	genus	186817
186817	Bacillaceae	family	1385
1385	Bacillales	order	91061
91061	Bacilli	class	1239
1239	Firmicutes	phylum	1783272
224324	Aquifex aeolicus VF5	strain	63363
63363	Aquifex aeolicus	species	2713
2713	Aquifex	genus	64898
64898	Aquificaceae	family	32069
32069	Aquificales	order	187857
187857	Aquificae	class	200783
200783	Aquificae	phylum	2
224911	Bradyrhizobium diazoefficiens USDA 110	strain	1355477
1355477	Bradyrhizobium diazoefficiens	species	374
374	Bradyrhizobium	genus	41294
41294	Bradyrhizobiaceae	family	356
356	Hyphomicrobiales	order	28211
28211	Alphaproteobacteria	class	1224
226186	Bacteroides thetaiotaomicron VPI-5482	strain	818
818	Bacteroides thetaiotaomicron	species	816
816	Bacteroides	genus	815
815	Bacteroidaceae	family	171549
171549	Bacteroidales	order	200643
200643	Bacteroidia	class	976
976	Bacteroidetes	phylum	68336
68336	Bacteroidetes/Chlorobi group	norank	1783270
1783270	FCB group	norank	2
237561	Candida albicans SC5314	strain	5476
5476	Candida albicans	species	1535326
1535326	Candida	genus	1535325
1535325	Candida/Lodderomyces clade	norank	766764
766764	Debaryomycetaceae	family	4892
4892	Saccharomycetales	order	4891
4891	Saccharomycetes	class	147537
147537	Saccharomycotina	subphylum	716545
716545	saccharomyceta	norank	4890
4890	Ascomycota	phylum	451864
237631	Ustilago maydis 521	strain	5270
5270	Ustilago maydis	species	5269
5269	Ustilago	genus	5268
5268	Ustilaginaceae	family	5267
5267	Ustilaginales	order	5257
5257	Ustilaginomycetes	class	452284
452284	Ustilaginomycotina	subphylum	5204
243090	Rhodopirellula baltica SH 1	strain	265606
265606	Rhodopirellula baltica	species	265488
265488	Rhodopirellula	genus	2691357
2691357	Pirellulaceae	family	2691354
2691354	Pirellulales	order	203683
203683	Planctomycetia	class	203682
203682	Planctomycetes	phylum	1783257
1783257	PVC group	norank	2
243230	Deinococcus radiodurans R1	strain	1299
1299	Deinococcus radiodurans	species	1298
1298	Deinococcus	genus	183710
183710	Deinococcaceae	family	118964
118964	Deinococcales	order	188787
188787	Deinococci	class	1297
1297	Deinococcus-Thermus	phylum	1783272
243231	Geobacter sulfurreducens PCA	strain	35554
35554	Geobacter sulfurreducens	species	28231
28231	Geobacter	genus	213422
213422	Geobacteraceae	family	69541
69541	Desulfuromonadales	order	28221
28221	Deltaproteobacteria	class	68525
68525	delta/epsilon subdivisions	subphylum	1224
243232	Methanocaldococcus jannaschii DSM 2661	strain	2190
2190	Methanocaldococcus jannaschii	species	196118
196118	Methanocaldococcus	genus	196117
196117	Methanocaldococcaceae	family	2182
2182	Methanococcales	order	183939
183939	Methanococci	class	2283794
2283794	Methanomada group	norank	28890
243273	Mycoplasma genitalium G37	strain	2097
2097	Mycoplasma genitalium	species	2093
2093	Mycoplasma	genus	2092
2092	Mycoplasmataceae	family	2085
2085	Mycoplasmatales	order	31969
31969	Mollicutes	class	544448
544448	Tenericutes	phylum	1783272
243274	Thermotoga maritima MSB8	strain	2336
2336	Thermotoga maritima	species	2335
2335	Thermotoga	genus	188709
188709	Thermotogaceae	family	2419
2419	Thermotogales	order	188708
188708	Thermotogae	class	200918
200918	Thermotogae	phylum	2
251221	Gloeobacter violaceus PCC 7421	strain	33072
33072	Gloeobacter violaceus	species	33071
33071	Gloeobacter	genus	1890422
1890422	Gloeobacteraceae	family	307595
307595	Gloeobacterales	order	307596
307596	Gloeobacteria	class	1117
272561	Chlamydia trachomatis D/UW-3/CX	strain	813
813	Chlamydia trachomatis	species	810
810	Chlamydia	genus	1113537
1113537	Chlamydia/Chlamydophila group	norank	809
809	Chlamydiaceae	family	51291
51291	Chlamydiales	order	204429
204429	Chlamydiia	class	204428
204428	Chlamydiae	phylum	1783257
27288	Naumovozyma castellii	species	278028
278028	Naumovozyma	genus	4893
4893	Saccharomycetaceae	family	4892
273057	Saccharolobus solfataricus P2	strain	2287
2287	Saccharolobus solfataricus	species	2100760
2100760	Saccharolobus	genus	118883
118883	Sulfolobaceae	family	2281
2281	Sulfolobales	order	183924
183924	Thermoprotei	class	28889
28889	Crenarchaeota	phylum	1783275
1783275	TACK group	norank	2157
284591	Yarrowia lipolytica CLIB122	strain	4952
4952	Yarrowia lipolytica	species	4951
4951	Yarrowia	genus	34353
34353	Dipodascaceae	family	4892
284812	Schizosaccharomyces pombe 972h-	strain	4896
4896	Schizosaccharomyces pombe	species	4895
4895	Schizosaccharomyces	genus	4894
4894	Schizosaccharomycetaceae	family	34346
34346	Schizosaccharomycetales	order	147554
147554	Schizosaccharomycetes	class	451866
451866	Taphrinomycotina	subphylum	4890
286706	Halyomorpha halys	species	286705
286705	Halyomorpha	genus	286710
286710	Pentatominae	subfamily	160513
160513	Pentatomidae	family	33358
33358	Pentatomoidea	superfamily	33357
33357	Pentatomomorpha	infraorder	33351
33351	Panheteroptera	norank	33349
33349	Neoheteroptera	norank	33347
33347	Euheteroptera	norank	33345
33345	Heteroptera	suborder	33343
33343	Prosorrhyncha	norank	7524
7524	Hemiptera	order	33342
33342	Paraneoptera	cohort	33340
289376	Thermodesulfovibrio yellowstonii DSM 11347	strain	28262
28262	Thermodesulfovibrio yellowstonii	species	28261
28261	Thermodesulfovibrio	genus	2811504
2811504	Thermodesulfovibrionaceae	family	2811503
2811503	Thermodesulfovibrionales	order	2811502
2811502	Thermodesulfovibrionia	class	40117
40117	Nitrospirae	phylum	2
3055	Chlamydomonas reinhardtii	species	3052
3052	Chlamydomonas	genus	3051
3051	Chlamydomonadaceae	family	3042
3042	Chlamydomonadales	order	2812636
2812636	CS clade	norank	3166
3166	Chlorophyceae	class	2692248
2692248	core chlorophytes	norank	3041
3041	Chlorophyta	phylum	33090
33090	Viridiplantae	kingdom	2759
319348	Polypedilum vanderplanki	species	2056899
2056899	Polypedilum	subgenus	54968
54968	Polypedilum	genus	72530
72530	Chironomini	tribe	54970
54970	Chironominae	subfamily	7149
7149	Chironomidae	family	41828
41828	Chironomoidea	superfamily	43786
43786	Culicomorpha	infraorder	7148
7148	Nematocera	suborder	7147
7147	Diptera	order	33392
321614	Parastagonospora nodorum SN15	strain	13684
13684	Parastagonospora nodorum	species	1351751
1351751	Parastagonospora	genus	5020
5020	Phaeosphaeriaceae	family	715340
715340	Pleosporineae	suborder	92860
92860	Pleosporales	order	451868
451868	Pleosporomycetidae	subclass	147541
147541	Dothideomycetes	class	715962
715962	dothideomyceta	norank	716546
716546	leotiomyceta	norank	147538
147538	Pezizomycotina	subphylum	716545
3218	Physcomitrium patens	species	37414
37414	Physcomitrium	genus	3216
3216	Funariaceae	family	3215
3215	Funariales	order	114656
114656	Funariidae	subclass	3214
3214	Bryopsida	class	404260
404260	Bryophytina	norank	3208
3208	Bryophyta	norank	3193
3193	Embryophyta	norank	131221
131221	Streptophytina	subphylum	35493
35493	Streptophyta	phylum	33090
324602	Chloroflexus aurantiacus J-10-fl	strain	1108
1108	Chloroflexus aurantiacus	species	1107
1107	Chloroflexus	genus	1106
1106	Chloroflexaceae	family	1508594
1508594	Chloroflexineae	suborder	32064
32064	Chloroflexales	order	32061
32061	Chloroflexia	class	200795
200795	Chloroflexi	phylum	1783272
330879	Aspergillus fumigatus Af293	strain	746128
746128	Aspergillus fumigatus	species	2720872
2720872	Aspergillus subgen. Fumigati	subgenus	5052
5052	Aspergillus	genus	1131492
1131492	Aspergillaceae	family	5042
5042	Eurotiales	order	451871
451871	Eurotiomycetidae	subclass	147545
147545	Eurotiomycetes	class	716546
34740	Heliconius melpomene	species	33416
33416	Heliconius	genus	127322
127322	Heliconiini	tribe	40037
40037	Heliconiinae	subfamily	33415
33415	Nymphalidae	family	37572
37572	Papilionoidea	superfamily	104431
104431	Obtectomera	norank	37567
37567	Ditrysia	norank	41197
41197	Heteroneura	parvorder	41196
41196	Neolepidoptera	infraorder	41191
41191	Glossata	suborder	7088
7088	Lepidoptera	order	85604
85604	Amphiesmenoptera	superorder	33392
35128	Thalassiosira pseudonana	species	35127
35127	Thalassiosira	genus	29202
29202	Thalassiosiraceae	family	33847
33847	Thalassiosirales	order	33846
33846	Thalassiosirophycidae	subclass	33836
33836	Coscinodiscophyceae	class	2836
2836	Bacillariophyta	phylum	2696291
2696291	Ochrophyta	norank	33634
35525	Daphnia magna	species	6668
6668	Daphnia	genus	77658
77658	Daphniidae	family	116561
116561	Anomopoda	infraorder	6665
6665	Cladocera	suborder	84337
84337	Diplostraca	order	116557
116557	Phyllopoda	subclass	6658
6658	Branchiopoda	class	6657
6657	Crustacea	subphylum	197562
36033	Vanderwaltozyma polyspora	species	374469
374469	Vanderwaltozyma	genus	4893
36329	Plasmodium falciparum 3D7	isolate	5833
5833	Plasmodium falciparum	species	418107
418107	Plasmodium (Laverania)	subgenus	5820
5820	Plasmodium	genus	1639119
1639119	Plasmodiidae	family	5819
5819	Haemosporida	order	422676
422676	Aconoidasida	class	5794
5794	Apicomplexa	phylum	33630
33630	Alveolata	norank	2698737
367110	Neurospora crassa OR74A	strain	5141
5141	Neurospora crassa	species	5140
5140	Neurospora	genus	5148
5148	Sordariaceae	family	5139
5139	Sordariales	order	222544
222544	Sordariomycetidae	subclass	147550
147550	Sordariomycetes	class	715989
715989	sordariomyceta	norank	716546
3702	Arabidopsis thaliana	species	3701
3701	Arabidopsis	genus	980083
980083	Camelineae	tribe	3700
3700	Brassicaceae	family	3699
3699	Brassicales	order	91836
91836	malvids	norank	71275
71275	rosids	norank	1437201
1437201	Pentapetalae	norank	91827
91827	Gunneridae	norank	71240
71240	eudicotyledons	norank	1437183
1437183	Mesangiospermae	norank	3398
3398	Magnoliopsida	class	58024
58024	Spermatophyta	norank	78536
78536	Euphyllophyta	norank	58023
58023	Tracheophyta	norank	3193
374847	Candidatus Korarchaeum cryptofilum OPF8	strain	498846
